neutral,jawOpen,jawLft,jawRgt,jawFwd,jawBk,chnRas,lftUprLipSk,rgtUprLipSk,lftLwrLipSk,rgtLwrLipSk,lftUprLipTgt,rgtUprLipTgt,lftLwrLipTgt,rgtLwrLipTgt,lftLipSealUpDn,rgtLipSealUpDn,lipSealLft,lipSealRgt,lftLipSealFwd,rgtLipSealFwd,lftLipSealBck,rgtLipSealBck,lftInrClsn,rgtInrClsn,lftOutClsn,rgtOutClsn,lftUprFnl,rgtUprFnl,lftLwrFnl,rgtLwrFnl,lftUprLipRas,rgtUprLipRas,lftNseWrnk,rgtNseWrnk,lftLwrLipDep,rgtLwrLipDep,lftNkTgt,rgtNkTgt,lftUprLipStr,rgtUprLipStr,lftLwrLipStr,rgtLwrLipStr,lftNrwMth,rgtNrwMth,lftMthStr,rgtMthStr,lftCnrPul,rgtCnrPul,lftDmplr,rgtDmplr,lftCnrDep,rgtCnrDep,lftCnrRas,rgtCnrRas,lftPufChk,rgtPufChk,lftPufLip,rgtPufLip,lftClnch,rgtClnch,swlo,lftNstrlFlr,rgtNstrlFlr,lftNstrlPnch,rgtNstrlPnch,lftInrBrwRas,rgtInrBrwRas,lftOutBrwRas,rgtOutBrwRas,lftBrwLwr,rgtBrwLwr,pcrs,lftSqnt,rgtSqnt,lftUprLidRas,rgtUprLidRas,lftUprLidDep,rgtUprLidDep,lftLwrLidRas,rgtLwrLidRas,lftLwrLidDep,rgtLwrLidDep,lftLwrLidTgt,rgtLwrLidTgt,lftEyeLft,rgtEyeLft,lftEyeRgt,rgtEyeRgt,lftEyeDwn,rgtEyeDwn,lftEyeUp,rgtEyeUp,lftChkRas,rgtChkRas,headBck,headFwd,headTltLft,headTltRgt,headTrnLft,headTrnRgt,lftLwrInrLipTeethClsn,lftLwrOutLipTeethClsn,rgtLwrInrLipTeethClsn,rgtLwrOutLipTeethClsn,chnRas_lftCnrPul_lftLwrFnl_lftLwrLipDep_lftMthStr,chnRas_rgtCnrPul_rgtLwrFnl_rgtLwrLipDep_rgtMthStr,chnRas_rgtLwrFnl,lftCnrPul_lftLwrFnl_lftLwrLipDep,lftCnrPul_lftLwrFnl_lftMthStr,lftCnrPul_lftLwrFnl,lftCnrPul_lftLwrLipDep_lftMthStr,lftCnrPul_lftLwrLipDep,lftCnrPul_lftMthStr,lftCnrPul_lftUprLipTgt,lftLwrFnl_lftLwrLipDep_lftMthStr,lftLwrFnl_lftLwrLipDep,lftLwrLipDep_lftMthStr,lftMthStr_lftLwrFnl,lftUprFnl_lftUprLipRas,rgtCnrPul_rgtLwrFnl,rgtCnrPul_rgtLwrFnl_rgtLwrLipDep,rgtCnrPul_rgtLwrFnl_rgtLwrLipDep_rgtMthStr,rgtCnrPul_rgtLwrFnl_rgtMthStr,rgtCnrPul_rgtLwrLipDep,rgtCnrPul_rgtMthStr,rgtCnrPul_rgtUprLipTgt,rgtLwrFnl_rgtLwrLipDep,rgtLwrFnl_rgtLwrLipDep_rgtMthStr,rgtLwrLipDep_rgtMthStr,rgtMthStr_rgtLwrFnl,rgtUprFnl_rgtUprLipRas,chnRas_lftLwrLipSk_lftInrClsn,chnRas_lftLwrLipSk,chnRas_rgtLwrLipSk,chnRas_rgtLwrLipSk_rgtInrClsn,jawBk_chnRas_lftLwrLipSk_lftLwrInrLipTeethClsn,jawBk_chnRas_rgtLwrLipSk_rgtLwrInrLipTeethClsn,jawBk_chnRas_lftLwrInrLipTeethClsn,jawBk_chnRas_rgtLwrInrLipTeethClsn,jawBk_lftLwrLipSk_lftLwrInrLipTeethClsn,jawBk_rgtLwrLipSk_rgtLwrInrLipTeethClsn,jawLft_jawBk_rgtLwrLipSk_rgtLwrOutLipTeethClsn,jawOpen_lftLwrLipSk,jawOpen_lftNrwMth,jawOpen_lftUprLipSk,jawOpen_rgtLwrLipSk,jawOpen_rgtNrwMth,jawOpen_rgtUprLipSk,jawRgt_jawBk_lftLwrLipSk_lftLwrOutLipTeethClsn,faceID,faceSelected,eliteSelected,nGeneration
0,0,0,0,0.554943,0,0,0,0,0,0,0,0,0.397271,0.397271,0,0,0,0,0,0,0,0,0.0559476,0.0492587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699336,0.699336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470922,0.470922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725879,0.725879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734371,0.734371,0,0,0,0,0,0,0,0,0,0,0,0,0.00624898,0.00624898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479009,0.479009,0.947358,0.947358,0,0,0,0,0,0.156588,0.156588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679136,0.076018,0.0545068,0.03104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876327,0.876327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487422,0.487422,0,0,0,0,0,0,0.795388,0.795388,0,0,0,0.120498,0.120498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800213,0.800213,0.173996,0.173996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600133,0.600133,0,0,0.777111,0.777111,0,0,0,0,0,0,0,0,0,0,0,0.750388,0.750388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00454208,0.021517,0,0.0100758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00720353,0.00762792,0.0447725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922641,0.922641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549176,0.549176,0,0,0.433816,0.433816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816324,0.816324,0,0,0,0,0,0,0,0,0.259476,0.259476,0,0,0.781045,0.781045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211817,0,0,0,0,0,0,0,0,0,0,0,0.211817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1
0,0,0,0,0.667528,0,0,0.82019,0.82019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310871,0.316664,0.0579708,0.0867768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602703,0.602703,0.32335,0.32335,0,0,0,0,0,0,0,0,0,0.0428396,0.0428396,0,0,0,0,0,0,0,0,0,0,0,0,0.635853,0.635853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
0,0,0,0,0,0,0.587142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824705,0.0901514,0.111958,0.128174,0,0,0,0,0,0,0,0,0.32599,0.32599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580969,0.580969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727603,0.727603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218729,0.218729,0,0,0,0,0,0,0,0,0.249698,0.249698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109556,0.109556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218729,0.218729,0.604393,0.604393,0,0,0,0,0.816324,0.816324,0,0,0,0,0,0,0,0,0.259476,0.259476,0,0,0.781045,0.781045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0.746896,0.746896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128021,0.49338,0.211817,0.156826,0,0,0,0,0,0,0,0,0.49338,0.128021,0.211817,0.156826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109365,0.109365,0,0,0,0,0,0,0.408162,0.408162,0.124849,0.124849,0,0,0,0,0,0,0.129738,0.129738,0,0,0.390522,0.390522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123197,0.0123197,0,0,0,0,0,0.393794,0.393794,0,0,0,0,0,0,0.0547781,0.0547781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529542,0,0,0,0,0,0,0,0,0,0,0,0.0529542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816324,0.816324,0,0,0,0,0,0,0,0,0.259476,0.259476,0,0,0.781045,0.781045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211817,0,0,0,0,0,0,0,0,0,0,0,0.211817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692954,0.692954,0,0,0.319152,0.319152,0.424285,0.424285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805252,0.805252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579121,0.579121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
0,0,0,0,0,0.961685,0,0,0,0.323068,0.323068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233347,0.786987,0.786987,0,0,0,0,0,0,0,0,0,0,0,0,0.328252,0.328252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187917,0.187917,0,0,0.0609995,0.0609995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55676,0.448445,0.419862,0.205167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172979,0.130447,0,0,0,0,0,0,0,0,5,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542296,0.0590197,0.0515162,0.0701917,0,0,0,0,0,0,0,0,0,0,0.249698,0.249698,0.516069,0.516069,0,0,0,0,0,0,0,0,0.784954,0.784954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2
0,0,0,0,0,0,0,0.663683,0.663683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664321,0.0981201,0.0526916,0.052089,0,0,0.396714,0.396714,0,0,0,0,0.0961233,0.0961233,0,0,0,0,0,0,0,0,0.917339,0.917339,0,0,0,0,0,0,0,0,0,0,0.0533322,0.0533322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349813,0.0381334,0.0881776,0.363921,0,0,0,0,0,0,0,0,0.0381334,0.0349813,0.0881776,0.363921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2
0,0,0,0,0,0,0,0.447561,0.447561,0,0,0,0,0.435069,0.435069,0,0,0,0,0,0,0,0,0.18993,0.192789,0.134287,0.171262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781045,0.781045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218729,0.218729,0,0,0.972845,0.972845,0,0,0.816324,0.816324,0.249698,0.249698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0.649179,0.649179,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212789,0,0,0,0,0,0,0,0,0,0,0,0.212789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0.139129,0.139129,0.0363101,0.0363101,0,0,0,0,0,0,0,0,0.017326,0.0113897,0,0.0194637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441344,0.441344,0,0,0,0,0,0,0,0,0,0.663357,0.663357,0.804914,0.804914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2
0,0,0,0,0,0,0,0.447561,0.447561,0,0,0,0,0.435069,0.435069,0,0,0,0,0,0,0,0,0.000757272,0,0.251328,0.209558,0,0,0.568294,0.568294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781045,0.781045,0,0,0.679635,0.679635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615314,0.615314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817657,0.0817657,0,0,0.265549,0.265549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296227,0.296227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
0,0,0,0,0,0,0,0.447561,0.447561,0,0,0,0,0.435069,0.435069,0,0,0,0,0,0,0,0,0.197096,0.184486,0.184052,0.207004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333139,0.333139,0.781045,0.781045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0.442057,0.442057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3
0,0,0,0,0,0,0,0.447561,0.447561,0,0,0,0,0.435069,0.435069,0,0,0,0,0,0,0,0,0.18918,0.191956,0.132765,0.170101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781045,0.781045,0,0,0,0,0,0,0,0,0.408927,0.408927,0,0,0,0,0,0.552192,0.552192,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
0,0,0,0,0.622257,0,0,0.447561,0.447561,0,0,0,0,0.435069,0.435069,0,0,0,0,0,0,0,0,0.19364,0.210032,0.161736,0.142169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781045,0.781045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0.0444655,0.0444655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3
0,0,0,0,0.0932597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147119,0.0256149,0,0.0166312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903806,0,0,0.828249,0.828249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484595,0.484595,0,0,0.848712,0.848712,0,0,0,0,0,0,0,0,0.956901,0.956901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3
0,0,0.6155,0,0,0,0,0.447561,0.447561,0,0,0,0,0.435069,0.435069,0,0,0,0,0,0,0,0,0.293497,0.0160843,0.079266,0.101289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984489,0.984489,0,0,0,0,0,0,0.781045,0.781045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246393,0.0246393,0,0,0,0,0,0.787588,0.787588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3
0,0,0.772766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0799214,0.0397953,0.00556766,0.0796858,0,0,0,0,0,0,0,0,0,0,0.0612782,0.0612782,0,0,0,0,0,0,0.863297,0.863297,0.620202,0.620202,0,0,0,0,0,0,0,0,0,0,0,0,0.924075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500013,0.500013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246264,0,0.348628,0.839004,0,0,0,0,0,0,0,0,0.535419,0,0,0,0,0,0,0,0,0,0,0,0.535419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3
