Group,TargetEmotion,nGeneration,nSelected,nSelected,nSelected
,,,mean,std,count
HC,Angry,1,2.5454545454545454,0.7385489458759964,22
HC,Angry,2,3.8181818181818183,1.3322506426689293,22
HC,Angry,3,4.363636363636363,1.7056057308448838,22
HC,Angry,4,3.6818181818181817,1.3232846447693145,22
HC,Angry,5,4.454545454545454,2.017241698276156,22
HC,Angry,6,4.2727272727272725,1.6089576093684343,22
HC,Angry,7,4.954545454545454,1.5576928215816257,22
HC,Angry,8,5.2727272727272725,2.027943320843586,22
HC,Fearful,1,2.727272727272727,0.8270324564263993,22
HC,Fearful,2,3.772727272727273,1.540927926432276,22
HC,Fearful,3,3.9545454545454546,1.2527027058580453,22
HC,Fearful,4,3.6363636363636362,1.2167659925061518,22
HC,Fearful,5,3.8181818181818183,1.3322506426689293,22
HC,Fearful,6,4.090909090909091,1.687745492805372,22
HC,Fearful,7,4.045454545454546,1.5879688352247414,22
HC,Fearful,8,4.409090909090909,1.4690162211523254,22
HC,Happy,1,2.5,0.6725927091345494,22
HC,Happy,2,3.6818181818181817,1.7562504332855222,22
HC,Happy,3,3.6363636363636362,1.328997278489977,22
HC,Happy,4,3.6818181818181817,1.6442211540614613,22
HC,Happy,5,4.318181818181818,1.3232846447693145,22
HC,Happy,6,4.2727272727272725,1.5175738212786563,22
HC,Happy,7,4.318181818181818,1.3232846447693145,22
HC,Happy,8,4.909090909090909,1.444499943433743,22
PT,Angry,1,2.76,1.2,25
PT,Angry,2,3.72,1.9689252567496478,25
PT,Angry,3,3.68,1.4352700094407325,25
PT,Angry,4,3.56,1.2274635093014648,25
PT,Angry,5,4.32,1.7729448195962936,25
PT,Angry,6,4.12,2.0477630071210227,25
PT,Angry,7,3.8,1.607275126832159,25
PT,Angry,8,4.32,1.8645821694595994,25
PT,Fearful,1,2.125,0.8501917942185291,24
PT,Fearful,2,3.0,1.5036188231122245,24
PT,Fearful,3,3.125,1.3290238326779873,24
PT,Fearful,4,2.875,1.1539158284426272,24
PT,Fearful,5,3.8333333333333335,1.6329931618554518,24
PT,Fearful,6,3.7916666666666665,1.5316704909195136,24
PT,Fearful,7,3.875,1.6235361299390265,24
PT,Fearful,8,3.9166666666666665,1.717345440591042,24
PT,Happy,1,2.4,0.6454972243679027,25
PT,Happy,2,3.04,1.4571661996262928,25
PT,Happy,3,3.32,1.5198684153570663,25
PT,Happy,4,3.56,1.5022205785658331,25
PT,Happy,5,3.88,1.6411378166788229,25
PT,Happy,6,3.92,1.4118545723031581,25
PT,Happy,7,4.36,1.410673597966588,25
PT,Happy,8,4.12,1.4809906594348705,25
