Group,ID,TargetEmotion,nGeneration,nSelected
HC,S1HC01,Angry,1,2
HC,S1HC01,Angry,2,5
HC,S1HC01,Angry,3,6
HC,S1HC01,Angry,4,5
HC,S1HC01,Angry,5,6
HC,S1HC01,Angry,6,4
HC,S1HC01,Angry,7,6
HC,S1HC01,Angry,8,6
HC,S1HC01,Fearful,1,4
HC,S1HC01,Fearful,2,3
HC,S1HC01,Fearful,3,4
HC,S1HC01,Fearful,4,3
HC,S1HC01,Fearful,5,4
HC,S1HC01,Fearful,6,4
HC,S1HC01,Fearful,7,5
HC,S1HC01,Fearful,8,5
HC,S1HC01,Happy,1,3
HC,S1HC01,Happy,2,6
HC,S1HC01,Happy,3,5
HC,S1HC01,Happy,4,3
HC,S1HC01,Happy,5,4
HC,S1HC01,Happy,6,4
HC,S1HC01,Happy,7,4
HC,S1HC01,Happy,8,6
HC,S1HC02,Angry,1,2
HC,S1HC02,Angry,2,3
HC,S1HC02,Angry,3,5
HC,S1HC02,Angry,4,4
HC,S1HC02,Angry,5,7
HC,S1HC02,Angry,6,6
HC,S1HC02,Angry,7,5
HC,S1HC02,Angry,8,5
HC,S1HC02,Fearful,1,4
HC,S1HC02,Fearful,2,7
HC,S1HC02,Fearful,3,5
HC,S1HC02,Fearful,4,4
HC,S1HC02,Fearful,5,4
HC,S1HC02,Fearful,6,3
HC,S1HC02,Fearful,7,5
HC,S1HC02,Fearful,8,6
HC,S1HC02,Happy,1,3
HC,S1HC02,Happy,2,6
HC,S1HC02,Happy,3,3
HC,S1HC02,Happy,4,5
HC,S1HC02,Happy,5,5
HC,S1HC02,Happy,6,5
HC,S1HC02,Happy,7,5
HC,S1HC02,Happy,8,7
HC,S1HC03,Angry,1,2
HC,S1HC03,Angry,2,2
HC,S1HC03,Angry,3,5
HC,S1HC03,Angry,4,2
HC,S1HC03,Angry,5,2
HC,S1HC03,Angry,6,5
HC,S1HC03,Angry,7,5
HC,S1HC03,Angry,8,7
HC,S1HC03,Fearful,1,2
HC,S1HC03,Fearful,2,3
HC,S1HC03,Fearful,3,4
HC,S1HC03,Fearful,4,4
HC,S1HC03,Fearful,5,5
HC,S1HC03,Fearful,6,4
HC,S1HC03,Fearful,7,4
HC,S1HC03,Fearful,8,5
HC,S1HC03,Happy,1,2
HC,S1HC03,Happy,2,3
HC,S1HC03,Happy,3,3
HC,S1HC03,Happy,4,2
HC,S1HC03,Happy,5,4
HC,S1HC03,Happy,6,4
HC,S1HC03,Happy,7,6
HC,S1HC03,Happy,8,4
HC,S1HC04,Angry,1,4
HC,S1HC04,Angry,2,4
HC,S1HC04,Angry,3,4
HC,S1HC04,Angry,4,5
HC,S1HC04,Angry,5,5
HC,S1HC04,Angry,6,3
HC,S1HC04,Angry,7,5
HC,S1HC04,Angry,8,6
HC,S1HC04,Fearful,1,2
HC,S1HC04,Fearful,2,6
HC,S1HC04,Fearful,3,2
HC,S1HC04,Fearful,4,2
HC,S1HC04,Fearful,5,4
HC,S1HC04,Fearful,6,4
HC,S1HC04,Fearful,7,6
HC,S1HC04,Fearful,8,5
HC,S1HC04,Happy,1,3
HC,S1HC04,Happy,2,4
HC,S1HC04,Happy,3,3
HC,S1HC04,Happy,4,6
HC,S1HC04,Happy,5,4
HC,S1HC04,Happy,6,2
HC,S1HC04,Happy,7,6
HC,S1HC04,Happy,8,5
HC,S1HC05,Angry,1,3
HC,S1HC05,Angry,2,4
HC,S1HC05,Angry,3,2
HC,S1HC05,Angry,4,3
HC,S1HC05,Angry,5,5
HC,S1HC05,Angry,6,5
HC,S1HC05,Angry,7,6
HC,S1HC05,Angry,8,6
HC,S1HC05,Fearful,1,3
HC,S1HC05,Fearful,2,2
HC,S1HC05,Fearful,3,5
HC,S1HC05,Fearful,4,3
HC,S1HC05,Fearful,5,6
HC,S1HC05,Fearful,6,3
HC,S1HC05,Fearful,7,3
HC,S1HC05,Fearful,8,6
HC,S1HC05,Happy,1,2
HC,S1HC05,Happy,2,3
HC,S1HC05,Happy,3,2
HC,S1HC05,Happy,4,4
HC,S1HC05,Happy,5,7
HC,S1HC05,Happy,6,6
HC,S1HC05,Happy,7,6
HC,S1HC05,Happy,8,6
HC,S1HC07,Angry,1,2
HC,S1HC07,Angry,2,6
HC,S1HC07,Angry,3,6
HC,S1HC07,Angry,4,6
HC,S1HC07,Angry,5,6
HC,S1HC07,Angry,6,5
HC,S1HC07,Angry,7,7
HC,S1HC07,Angry,8,6
HC,S1HC07,Fearful,1,3
HC,S1HC07,Fearful,2,4
HC,S1HC07,Fearful,3,5
HC,S1HC07,Fearful,4,5
HC,S1HC07,Fearful,5,6
HC,S1HC07,Fearful,6,5
HC,S1HC07,Fearful,7,7
HC,S1HC07,Fearful,8,5
HC,S1HC07,Happy,1,2
HC,S1HC07,Happy,2,4
HC,S1HC07,Happy,3,5
HC,S1HC07,Happy,4,4
HC,S1HC07,Happy,5,5
HC,S1HC07,Happy,6,5
HC,S1HC07,Happy,7,6
HC,S1HC07,Happy,8,5
HC,S1HC08,Angry,1,4
HC,S1HC08,Angry,2,4
HC,S1HC08,Angry,3,5
HC,S1HC08,Angry,4,3
HC,S1HC08,Angry,5,6
HC,S1HC08,Angry,6,7
HC,S1HC08,Angry,7,6
HC,S1HC08,Angry,8,10
HC,S1HC08,Fearful,1,5
HC,S1HC08,Fearful,2,6
HC,S1HC08,Fearful,3,5
HC,S1HC08,Fearful,4,5
HC,S1HC08,Fearful,5,5
HC,S1HC08,Fearful,6,8
HC,S1HC08,Fearful,7,6
HC,S1HC08,Fearful,8,5
HC,S1HC08,Happy,1,4
HC,S1HC08,Happy,2,5
HC,S1HC08,Happy,3,4
HC,S1HC08,Happy,4,7
HC,S1HC08,Happy,5,6
HC,S1HC08,Happy,6,7
HC,S1HC08,Happy,7,6
HC,S1HC08,Happy,8,7
HC,S1HC09,Angry,1,3
HC,S1HC09,Angry,2,4
HC,S1HC09,Angry,3,6
HC,S1HC09,Angry,4,5
HC,S1HC09,Angry,5,9
HC,S1HC09,Angry,6,6
HC,S1HC09,Angry,7,5
HC,S1HC09,Angry,8,3
HC,S1HC09,Fearful,1,3
HC,S1HC09,Fearful,2,6
HC,S1HC09,Fearful,3,5
HC,S1HC09,Fearful,4,5
HC,S1HC09,Fearful,5,3
HC,S1HC09,Fearful,6,4
HC,S1HC09,Fearful,7,3
HC,S1HC09,Fearful,8,2
HC,S1HC09,Happy,1,3
HC,S1HC09,Happy,2,3
HC,S1HC09,Happy,3,3
HC,S1HC09,Happy,4,4
HC,S1HC09,Happy,5,4
HC,S1HC09,Happy,6,4
HC,S1HC09,Happy,7,5
HC,S1HC09,Happy,8,4
HC,S1HC11,Angry,1,3
HC,S1HC11,Angry,2,5
HC,S1HC11,Angry,3,8
HC,S1HC11,Angry,4,4
HC,S1HC11,Angry,5,3
HC,S1HC11,Angry,6,6
HC,S1HC11,Angry,7,5
HC,S1HC11,Angry,8,6
HC,S1HC11,Fearful,1,3
HC,S1HC11,Fearful,2,4
HC,S1HC11,Fearful,3,4
HC,S1HC11,Fearful,4,4
HC,S1HC11,Fearful,5,4
HC,S1HC11,Fearful,6,6
HC,S1HC11,Fearful,7,5
HC,S1HC11,Fearful,8,5
HC,S1HC11,Happy,1,3
HC,S1HC11,Happy,2,6
HC,S1HC11,Happy,3,5
HC,S1HC11,Happy,4,5
HC,S1HC11,Happy,5,4
HC,S1HC11,Happy,6,5
HC,S1HC11,Happy,7,5
HC,S1HC11,Happy,8,6
HC,S1HC13,Angry,1,3
HC,S1HC13,Angry,2,5
HC,S1HC13,Angry,3,6
HC,S1HC13,Angry,4,4
HC,S1HC13,Angry,5,5
