,PT_angry,PT_happy,PT_fearful,HC_angry,HC_happy,HC_fearful
0,lftUprLipRas,lftCnrPul,rgtInrBrwRas,rgtBrwLwr,lftCnrPul,lftUprLidRas
1,lftUprLidRas,lftCnrRas,lftCnrDep,lftUprLipRas,lftCnrRas,lftUprLipStr
2,rgtBrwLwr,lftMthStr,lftUprLipStr,lftUprLidRas,lftMthStr,lftCnrDep
3,lftUprLipStr,lftLwrLipDep,lftLwrLipStr,lftUprLipStr,rgtInrBrwRas,lftLwrLipStr
4,lftLwrLipStr,lftDmplr,lftLwrLidTgt,lftLwrLidRas,lftLwrLidTgt,rgtInrBrwRas
5,rgtOutBrwRas,rgtInrBrwRas,rgtBrwLwr,rgtNstrlFlr,lftUprLipSk,lftSqnt
6,lftNseWrnk,lftChkRas,lftLwrLipDep,chnRas,rgtNstrlPnch,lftLwrLipDep
7,lftLwrLidTgt,lftLwrLidRas,lftUprLipRas,lftCnrDep,lftLwrLipDep,lftChkRas
8,lftChkRas,lftLwrLidTgt,lftUprLidRas,lftChkRas,lftDmplr,rgtNstrlPnch
9,lftSqnt,lftUprLipSk,lftLwrLidRas,lftLwrLidTgt,lftSqnt,lftUprLipRas
