lftUprLipRas,rgtBrwLwr,lftUprLidRas,lftUprLipStr,lftLwrLipStr,lftLwrLidTgt,lftChkRas,lftLwrLidRas,lftCnrDep,rgtNstrlFlr,ID,Group
0.0,0.0,0.0,0.512434,0.0,0.818501,0.0,0.0,0.0,0.0,S1HC08,HC
0.0961813,0.0,0.0,0.494452,0.686426,0.0,0.0,0.0,0.0,0.0,S1HC08,HC
0.950151,0.0,0.779415,0.0,0.760113,0.0,0.0,0.59847,0.0,0.0,S1HC08,HC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599223,0.0,0.0,S1HC08,HC
0.0961813,0.0,0.0,0.494452,0.0,0.124312,0.0,0.0,0.0,0.0,S1HC08,HC
0.261583,0.0,0.194854,0.251721,0.361635,0.204625,0.0,0.299423,0.0,0.0,S1HC08,HC
0.0,0.0,0.0,0.788758,0.0,0.0,0.0,0.119923,0.159694,0.484705,S1HC08,HC
0.0961813,0.0,0.779415,0.0,0.686426,0.967696,0.0,0.59847,0.0,0.0,S1HC08,HC
0.0961813,0.0,0.779415,0.0,0.686426,0.967696,0.0,0.59847,0.0,0.0,S1HC08,HC
0.0961813,0.0,0.779415,0.788758,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.0,0.0,0.0,0.494452,0.510829,0.0,0.0,0.119923,0.159694,0.484705,S1HC08,HC
0.113486,0.0,0.243567,0.383733,0.262015,0.324158,0.0,0.254454,0.0399236,0.121176,S1HC08,HC
0.0,0.0,0.0,0.494452,0.0,0.0,0.0,0.0,0.159694,0.0,S1HC08,HC
0.113486,0.0,0.243567,0.494452,0.0,0.324158,0.0,0.0,0.0399236,0.121176,S1HC08,HC
0.0961813,0.0,0.779415,0.788758,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.0961813,0.0,0.779415,0.0,0.686426,0.967696,0.0,0.59847,0.0,0.484705,S1HC08,HC
0.104834,0.0,0.511491,0.641605,0.343213,0.645927,0.0,0.0599617,0.0199618,0.302941,S1HC08,HC
0.0961813,0.0,0.779415,0.788758,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.0961813,0.0,0.779415,0.0,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.10195,0.0,0.600799,0.427737,0.457617,0.753184,0.0,0.239464,0.0133079,0.363529,S1HC08,HC
0.113486,0.0,0.243567,0.672921,0.0,0.324158,0.0,0.0,0.0399236,0.121176,S1HC08,HC
0.0961813,0.0,0.779415,0.788758,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.0961813,0.0,0.779415,0.0,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.104834,0.0,0.511491,0.730839,0.343213,0.645927,0.0,0.0599617,0.0199618,0.302941,S1HC08,HC
0.113486,0.0,0.243567,0.672921,0.0,0.967696,0.0,0.119923,0.0399236,0.121176,S1HC08,HC
0.113486,0.0,0.243567,0.672921,0.0,0.324158,0.0,0.416671,0.0399236,0.121176,S1HC08,HC
0.101469,0.0,0.615684,0.553296,0.476685,0.77106,0.0,0.109866,0.0121989,0.373627,S1HC08,HC
0.0961813,0.0,0.779415,0.788758,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.307968,0.0,0.0,0.0,0.0,0.0,0.0,0.539675,0.0,0.657304,S1HC08,HC
0.104834,0.0,0.511491,0.672921,0.343213,0.967696,0.423442,0.119923,0.0199618,0.121176,S1HC08,HC
0.0961813,0.0,0.779415,0.788758,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.0988251,0.0,0.697549,0.671027,0.581556,0.869378,0.0,0.114895,0.00609944,0.429166,S1HC08,HC
0.133372,0.0,0.453305,0.488391,0.31325,0.663462,0.0,0.212278,0.0160011,0.363662,S1HC08,HC
0.113486,0.0,0.243567,0.672921,0.0,0.967696,0.0,0.119923,0.0399236,0.121176,S1HC08,HC
0.101469,0.0,0.615684,0.730839,0.476685,0.77106,0.0,0.109866,0.104972,0.373627,S1HC08,HC
0.0961813,0.0,0.779415,0.788758,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.133372,0.0,0.453305,0.488391,0.31325,0.663462,0.0,0.119923,0.0160011,0.484705,S1HC08,HC
0.0,0.977551,0.0,0.0,0.0,0.633611,0.0,0.0,0.0,0.0,S1HC08,HC
0.101469,0.323622,0.453305,0.488391,0.31325,0.663462,0.0,0.109866,0.104972,0.363662,S1HC08,HC
0.0,0.816623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1HC08,HC
0.0961813,0.0,0.453305,0.488391,0.686426,0.967696,0.0,0.119923,0.0,0.484705,S1HC08,HC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1HC08,HC
0.104834,0.0,0.511491,0.730839,0.343213,0.967696,0.0,0.119923,0.0199618,0.302941,S1HC08,HC
0.108028,0.0,0.550169,0.670809,0.400188,0.867831,0.0705736,0.132801,0.0311597,0.315586,S1HC08,HC
0.0,0.10209,0.0,0.989584,0.0,0.0,0.0,0.682445,0.0,0.0,S1HC08,HC
0.0,0.0,0.0,0.0,0.824424,0.0,0.0,0.0,0.0,0.0,S1PT16,PT
0.158051,0.0,0.952342,0.0,0.0,0.0,0.64411,0.0,0.0,0.0,S1PT16,PT
0.0,0.674745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1PT16,PT
0.764107,0.0,0.0,0.0131255,0.806298,0.974317,0.0,0.0,0.0,0.0,S1PT16,PT
0.0,0.0,0.0,0.0,0.571363,0.155301,0.0,0.0,0.0,0.0,S1PT16,PT
0.0,0.309279,0.711827,0.741097,0.206904,0.0,0.0,0.0,0.0,0.0,S1PT16,PT
0.0,0.208555,0.0,0.0,0.0,0.0,0.0,0.697366,0.0,0.0,S1PT16,PT
