lftCnrPul,lftCnrRas,lftMthStr,rgtInrBrwRas,lftLwrLidTgt,lftUprLipSk,lftDmplr,lftLwrLipDep,lftLwrLidRas,lftChkRas,ID,Group
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.722306,0.0,0.0,S1PT06,PT
0.0,0.0,0.0,0.0,0.0,0.183572,0.0,0.0,0.0,0.0,S1PT06,PT
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.722306,0.0,0.0,S1PT06,PT
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.722306,0.0,0.0,S1PT06,PT
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S1PT06,PT
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.722306,0.0,0.0,S1PT06,PT
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.722306,0.480499,0.0,S1PT06,PT
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.722306,0.0,0.0,S1PT06,PT
0.0,0.0674045,0.0,0.659371,0.0,0.0,0.0,0.0,0.818162,0.0,S1PT06,PT
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.577845,0.0960998,0.0,S1PT06,PT
0.304878,0.0224682,0.0,0.21979,0.0,0.0,0.0,0.433384,0.304754,0.0,S1PT06,PT
0.457317,0.841268,0.0,0.659371,0.0,0.0,0.0,0.577845,0.0960998,0.273319,S1PT06,PT
0.457317,0.0,0.0,0.0,0.0,0.0,0.0,0.577845,0.0960998,0.0,S1PT06,PT
0.457317,0.0,0.0,0.0,0.964818,0.0,0.0,0.577845,0.0960998,0.0,S1PT06,PT
0.381098,0.431868,0.0,0.439581,0.0,0.0,0.0,0.505614,0.200427,0.13666,S1PT06,PT
0.457317,0.354467,0.0,0.0,0.0,0.0,0.0,0.454052,0.0960998,0.0,S1PT06,PT
0.457317,0.841268,0.0,0.659371,0.0,0.0,0.0,0.577845,0.0960998,0.273319,S1PT06,PT
